"(665-Pn)Pn","(Pn+1-Pn)","","",""
"6291.84","8.7","","",""
"11834.61","10.7","","",""
"18444","18.2","","",""
"29160.16","23.9","","",""
"42226.29","48","","",""
"65016.69","55.5","","",""
"85623.84","82.7","","",""
"104901.21","93.4","","",""
"110225.01","90.3","","",""
"98784","72.3","","",""
"77867.61","46.4","","",""
"58936.41","35.1","","",""
"41754.96","34.6","","",""
"22406.64","11.4","","",""
"15507.36","10.3","","",""
"9050.29","8.5","","",""
"3561.84","2.1999999999999","","",""
"2117.76","0","","",""
